mrt,mrt_long,mrt_lat
UPPER THOMSON,103.832898468504,1.35441643365401
CALDECOTT,103.840161782075,1.33724561271722
CASHEW,103.76443921414,1.36981544925552
LENTOR,103.835743809669,1.38550657972169
SOMERSET,103.839085753124,1.30026416739006
MARINA BAY,103.854595522263,1.276410298755
SHENTON WAY,103.850367596067,1.2777168283425
MARINA SOUTH PIER,103.862447515736,1.27102703612006
BAYFRONT,103.859079764874,1.28187378879209
DOWNTOWN,103.852840829581,1.27944638178916
GARDENS BY THE BAY,103.867454664421,1.27848725876303
MARINA SOUTH,103.863574321728,1.27455475919137
NAPIER,103.818967003926,1.30678307789908
KING ALBERT PARK,103.783399113441,1.33566161262214
EXPO,103.962374747451,1.33538252614956
PROMENADE,103.860350000188,1.29399798636232
TAMPINES WEST,103.938436971222,1.34551530560119
TANJONG KATONG,103.897368742078,1.29931925742524
TANJONG RHU,103.873453254621,1.29726507940646
STADIUM,103.875337711089,1.3028124684707
SUNGEI BEDOK,103.957183823478,1.32040148729112
NICOLL HIGHWAY,103.86363696572,1.29976684675139
TELOK AYER,103.848648781083,1.28206894769394
RAFFLES PLACE,103.851461712342,1.28412561043658
KALLANG,103.871386541754,1.31148890998818
SENGKANG,103.895484694279,1.39169462601522
CHINATOWN,103.845143798953,1.28422391919085
MAXWELL,103.843883670633,1.28053329842878
CLARKE QUAY,103.846555209694,1.28838602407588
OUTRAM PARK,103.839439862425,1.27972059383553
TANJONG PAGAR,103.845725186759,1.27656131737246
PRINCE EDWARD,103.847097123745,1.27315693636085
CANTONMENT,103.837062313764,1.27287214563203
HARBOURFRONT,103.821530157095,1.26538938374901
KEPPEL,103.830031459524,1.26977220124441
BRADDELL,103.846799083148,1.3404690010277
KAKI BUKIT,103.908459338046,1.33496735995428
TAMPINES,103.943009883131,1.35515041120473
BUANGKOK,103.893122569706,1.38287001971672
BUKIT BATOK,103.749566478309,1.34903331201636
CHOA CHU KANG,103.744370779756,1.38536316540225
MACPHERSON,103.889298600376,1.32615024457361
JURONG EAST,103.742286332403,1.33315281585758
PASIR RIS,103.949284527763,1.37304331635804
BOTANIC GARDENS,103.814984510627,1.32211373558877
BRIGHT HILL,103.832893619992,1.36328318545185
BUONA VISTA,103.790253514502,1.3072237082044
SIGLAP,103.930025826702,1.31000855143448
BEAUTY WORLD,103.775794285083,1.34122317558549
MARINE PARADE,103.904983086812,1.30261163483383
PUNGGOL COAST,103.910166388177,1.41492733388605
