pri_sch,pri_sch_long,pri_sch_lat
ZHONGHUA PRIMARY SCHOOL,103.869762438084,1.36020329705047
ZHENGHUA PRIMARY SCHOOL,103.769313521752,1.37954887512229
ZHANGDE PRIMARY SCHOOL,103.825951875662,1.28421153335379
YUMIN PRIMARY SCHOOL,103.950461927088,1.35129177656981
YUHUA PRIMARY SCHOOL,103.741105772644,1.34280230475033
YU NENG PRIMARY SCHOOL,103.932144857355,1.33388930344069
JIEMIN PRIMARY SCHOOL,103.830425490093,1.42768847665227
XISHAN PRIMARY SCHOOL,103.837755319448,1.43347186925064
AHMAD IBRAHIM PRIMARY SCHOOL,103.832942401086,1.43315271543517
YISHUN PRIMARY SCHOOL,103.834087115915,1.43338602975674
PEIYING PRIMARY SCHOOL,103.830417090698,1.41723339695904
NORTH VIEW PRIMARY SCHOOL,103.848190787869,1.42752327193727
NORTHLAND PRIMARY SCHOOL,103.840928424929,1.42096989918951
NAVAL BASE PRIMARY SCHOOL,103.838794077233,1.41630663159387
HUAMIN PRIMARY SCHOOL,103.844240226564,1.42697284512936
YIO CHU KANG PRIMARY SCHOOL,103.885643682171,1.37793264345276
YEW TEE PRIMARY SCHOOL,103.750985967346,1.39676600905037
YANGZHENG PRIMARY SCHOOL,103.868595527042,1.34864575840923
XINMIN PRIMARY SCHOOL,103.883080767491,1.37139548941931
XINGNAN PRIMARY SCHOOL,103.687950252103,1.34254744877694
XINGHUA PRIMARY SCHOOL,103.890472887906,1.35790893589535
QIHUA PRIMARY SCHOOL,103.788339756898,1.4420359661233
WOODLANDS RING PRIMARY SCHOOL,103.797435733144,1.43495229315857
WOODLANDS PRIMARY SCHOOL,103.791570546509,1.43655108594232
GREENWOOD PRIMARY SCHOOL,103.804725587384,1.43989958331782
INNOVA PRIMARY SCHOOL,103.790607539185,1.42896700684852
WOODGROVE PRIMARY SCHOOL,103.790604437613,1.43310340168966
RIVERSIDE PRIMARY SCHOOL,103.801831963297,1.44704734253719
EVERGREEN PRIMARY SCHOOL,103.794577787757,1.44415332824735
ADMIRALTY PRIMARY SCHOOL,103.800040119743,1.4426347903311
MARSILING PRIMARY SCHOOL,103.773643013846,1.43383904037059
SI LING PRIMARY SCHOOL,103.786035065192,1.43240935732525
FUCHUN PRIMARY SCHOOL,103.778192944298,1.43047990810126
TECK WHYE PRIMARY SCHOOL,103.753291857016,1.38364996834457
WHITE SANDS PRIMARY SCHOOL,103.960918869319,1.36555714668553
WESTWOOD PRIMARY SCHOOL,103.70053420978,1.34718456606375
WEST VIEW PRIMARY SCHOOL,103.760240434318,1.3836758200336
JUYING PRIMARY SCHOOL,103.687769623983,1.33902264667589
PIONEER PRIMARY SCHOOL,103.695003812477,1.34883617453427
WEST GROVE PRIMARY SCHOOL,103.699286360581,1.3448790560014
JURONG WEST PRIMARY SCHOOL,103.698803732244,1.33917519796104
FRONTIER PRIMARY SCHOOL,103.69970173931,1.33641298743234
RULANG PRIMARY SCHOOL,103.718457955487,1.34673868889096
SHUQUN PRIMARY SCHOOL,103.721523713379,1.34765311431632
CORPORATION PRIMARY SCHOOL,103.707593724342,1.35099779872539
WEST SPRING PRIMARY SCHOOL,103.766195711835,1.38944145898943
QIFA PRIMARY SCHOOL,103.756743261958,1.31325113867272
PRINCESS ELIZABETH PRIMARY SCHOOL,103.74101964471,1.349203512653
WELLINGTON PRIMARY SCHOOL,103.822303719094,1.45192019155475
WATERWAY PRIMARY SCHOOL,103.918621581556,1.39882800626578
SENG KANG PRIMARY SCHOOL,103.899767112047,1.38949740422462
PUNGGOL GREEN PRIMARY SCHOOL,103.898801330302,1.40187220643293
PUNGGOL COVE PRIMARY SCHOOL,103.898804620697,1.41159891873961
LAKESIDE PRIMARY SCHOOL,103.718089546664,1.33820397704287
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,103.776106448614,1.33805634613048
NORTH VISTA PRIMARY SCHOOL,103.895961877928,1.38282243016299
PUNGGOL VIEW PRIMARY SCHOOL,103.905156371376,1.40514582647962
SOUTH VIEW PRIMARY SCHOOL,103.746275846011,1.38166664389749
BUKIT VIEW PRIMARY SCHOOL,103.75366641455,1.34586054788695
PALM VIEW PRIMARY SCHOOL,103.891354675017,1.38376923022123
PARK VIEW PRIMARY SCHOOL,103.939541695654,1.37738069854249
STAMFORD PRIMARY SCHOOL,103.857453500579,1.30345638467449
VALOUR PRIMARY SCHOOL,103.899078139493,1.40683570215319
RIVER VALLEY PRIMARY SCHOOL,103.835815165829,1.2942232846169
THE JAPANESE PRIMARY SCHOOL,103.965590656291,1.35422994843944
UNITY PRIMARY SCHOOL,103.746822625758,1.40285481877246
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,103.854300279284,1.34931014201944
MAYFLOWER PRIMARY SCHOOL,103.843252803742,1.37637683547682
