sec_sch,sec_sch_long,sec_sch_lat
ZHONGHUA SECONDARY SCHOOL,103.869430481414,1.34840720846208
ZHENGHUA SECONDARY SCHOOL,103.765510638527,1.38836583415352
YUYING SECONDARY SCHOOL,103.890194755287,1.35713595302467
YUSOF ISHAK SECONDARY SCHOOL,103.896275149571,1.40693702458178
YUHUA SECONDARY SCHOOL,103.722687235839,1.34718626876968
YUAN CHING SECONDARY SCHOOL,103.72089870437,1.34200635764467
JURONG SECONDARY SCHOOL,103.723952961648,1.33002032220942
OUTRAM SECONDARY SCHOOL,103.837127264403,1.28651357464735
YISHUN TOWN SECONDARY SCHOOL,103.838094226361,1.43232156717386
ORCHID PARK SECONDARY SCHOOL,103.837859241343,1.41532032779634
YISHUN SECONDARY SCHOOL,103.828764316679,1.42813324276086
NORTHLAND SECONDARY SCHOOL,103.840104687784,1.43580183362637
NORTHBROOKS SECONDARY SCHOOL,103.845147332528,1.42081285020652
NAVAL BASE SECONDARY SCHOOL,103.831050390247,1.41937881620441
AHMAD IBRAHIM SECONDARY SCHOOL,103.829718690077,1.43605975368804
YIO CHU KANG SECONDARY SCHOOL,103.84213696352,1.37797597740925
HUA YI SECONDARY SCHOOL,103.721832320169,1.35234365488339
PING YI SECONDARY SCHOOL,103.920700671987,1.3270167275387
XINMIN SECONDARY SCHOOL,103.88305161385,1.37255884700002
EVERGREEN SECONDARY SCHOOL,103.794137756171,1.44149131273737
RIVERSIDE SECONDARY SCHOOL,103.78830823641,1.44110157139127
WOODLANDS SECONDARY SCHOOL,103.774586410437,1.43912528141356
WOODLANDS RING SECONDARY SCHOOL,103.800148469692,1.43648894729939
SPECTRA SECONDARY SCHOOL,103.804100467487,1.43703750789961
CHRIST CHURCH SECONDARY SCHOOL,103.793451105242,1.42656780901455
ADMIRALTY SECONDARY SCHOOL,103.802398196596,1.44589068910993
WOODGROVE SECONDARY SCHOOL,103.79604758539,1.42831828137013
FUCHUN SECONDARY SCHOOL,103.777625748539,1.43070452883799
BENDEMEER SECONDARY SCHOOL,103.860970284401,1.32461111307996
TECK WHYE SECONDARY SCHOOL,103.75510327583,1.38333422637073
CHUA CHU KANG SECONDARY SCHOOL,103.751878290333,1.38319029263484
WHITLEY SECONDARY SCHOOL,103.842552378136,1.35505208480649
WESTWOOD SECONDARY SCHOOL,103.701772102139,1.35373698510994
JUYING SECONDARY SCHOOL,103.687310264575,1.3387227734133
JURONG WEST SECONDARY SCHOOL,103.702098904443,1.33525634688323
BOON LAY SECONDARY SCHOOL,103.701891453912,1.34272216334333
FUHUA SECONDARY SCHOOL,103.72652089832,1.34701408913756
WEST SPRING SECONDARY SCHOOL,103.760128840155,1.38782283303782
THE JAPANESE SECONDARY SCHOOL,103.756498950631,1.31122577207907
TANGLIN SECONDARY SCHOOL,103.758158358303,1.30970169234123
KENT RIDGE SECONDARY SCHOOL,103.764889617566,1.30122773426098
COMMONWEALTH SECONDARY SCHOOL,103.745637393049,1.31920395934801
BUKIT BATOK SECONDARY SCHOOL,103.74087370482,1.34849111079052
DUNEARN SECONDARY SCHOOL,103.74472109107,1.36357900792871
PEIRCE SECONDARY SCHOOL,103.83021606804,1.36665944653812
NORTH VISTA SECONDARY SCHOOL,103.899188813886,1.381131285358
SERANGOON SECONDARY SCHOOL,103.902138740699,1.37465538827443
BUKIT VIEW SECONDARY SCHOOL,103.752226593984,1.3457330554294
LOYANG VIEW SECONDARY SCHOOL,103.956944585725,1.36658417167238
BEDOK VIEW SECONDARY SCHOOL,103.943776245024,1.32415704029686
TEMASEK SECONDARY SCHOOL,103.947564112022,1.31591673150616
UNITY SECONDARY SCHOOL,103.746025843729,1.40002893292855
MANJUSRI SECONDARY SCHOOL,103.901719963831,1.32747123084846
BEATTY SECONDARY SCHOOL,103.852285636043,1.34177065605301
NEW TOWN SECONDARY SCHOOL,103.77318863421,1.30977590011357
CLEMENTI TOWN SECONDARY SCHOOL,103.762020598524,1.31553912945073
SAINT ANDREW'S SECONDARY SCHOOL,103.866249138562,1.33069360968075
TANJONG KATONG SECONDARY SCHOOL,103.897225196199,1.30873515955341
JUNYUAN SECONDARY SCHOOL,103.933886165824,1.35361315263537
SAINT HILDA'S SECONDARY SCHOOL,103.937608032148,1.34973922385379
DUNMAN SECONDARY SCHOOL,103.956213906966,1.36065258337022
EAST SPRING SECONDARY SCHOOL,103.960640700298,1.35622508992581
NGEE ANN SECONDARY SCHOOL,103.956747262496,1.35447525755806
PASIR RIS SECONDARY SCHOOL,103.948962626204,1.35422732653396
TAMPINES SECONDARY SCHOOL,103.944263709507,1.34926094811197
